"ID","time","name","weights alpha","weights beta","model A","model B","model C","alpha","beta","mode","use MBW","plus lora","custum name","save setting","use ID"
55,2023.05.05 10.25.14,cartoonish_v1 + (OldFish_2348V12 -  v1-5-pruned) x 0.25,,,07f029f6d1,bd399ee451,1a189f0be6,0.25,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
56,2023.05.05 10.25.27,cartoonish_v1 + (OldFish_2348V12 -  v1-5-pruned) x 0.5,,,07f029f6d1,bd399ee451,1a189f0be6,0.5,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
57,2023.05.05 10.25.39,cartoonish_v1 + (OldFish_2348V12 -  v1-5-pruned) x 0.75,,,07f029f6d1,bd399ee451,1a189f0be6,0.75,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
58,2023.05.05 10.25.51,cartoonish_v1 + (OldFish_2348V12 -  v1-5-pruned) x 0.25,,,07f029f6d1,bd399ee451,1a189f0be6,0.25,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
59,2023.05.05 10.26.03,cartoonish_v1 + (OldFish_2348V12 -  v1-5-pruned) x 0.5,,,07f029f6d1,bd399ee451,1a189f0be6,0.5,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
60,2023.05.05 10.26.15,cartoonish_v1 + (OldFish_2348V12 -  v1-5-pruned) x 0.75,,,07f029f6d1,bd399ee451,1a189f0be6,0.75,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
61,2023.05.05 10.26.26,cartoonish_v1 + (OldFish_2348V12 -  v1-5-pruned) x 0.25,,,07f029f6d1,bd399ee451,1a189f0be6,0.25,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
62,2023.05.05 10.26.38,cartoonish_v1 + (OldFish_2348V12 -  v1-5-pruned) x 0.5,,,07f029f6d1,bd399ee451,1a189f0be6,0.5,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
63,2023.05.05 10.26.50,cartoonish_v1 + (OldFish_2348V12 -  v1-5-pruned) x 0.75,,,07f029f6d1,bd399ee451,1a189f0be6,0.75,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
64,2023.05.05 10.41.25,cartoonish_v1 + (darkSushiMixMix_brighterPruned -  v1-5-pruned) x 0.25,,,07f029f6d1,099e07547a,1a189f0be6,0.25,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
65,2023.05.05 10.41.37,cartoonish_v1 + (darkSushiMixMix_brighterPruned -  v1-5-pruned) x 0.5,,,07f029f6d1,099e07547a,1a189f0be6,0.5,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
66,2023.05.05 10.41.50,cartoonish_v1 + (darkSushiMixMix_brighterPruned -  v1-5-pruned) x 0.75,,,07f029f6d1,099e07547a,1a189f0be6,0.75,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
67,2023.05.05 10.42.02,cartoonish_v1 + (darkSushiMixMix_brighterPruned -  v1-5-pruned) x 0.25,,,07f029f6d1,099e07547a,1a189f0be6,0.25,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
68,2023.05.05 10.42.14,cartoonish_v1 + (darkSushiMixMix_brighterPruned -  v1-5-pruned) x 0.5,,,07f029f6d1,099e07547a,1a189f0be6,0.5,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
69,2023.05.05 10.42.25,cartoonish_v1 + (darkSushiMixMix_brighterPruned -  v1-5-pruned) x 0.75,,,07f029f6d1,099e07547a,1a189f0be6,0.75,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
